"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","11","","","","HttpClientTask30Tests","CreateUserAsync_RequiredFieldsOnlyPopulated_Valid","Test Create New User - Required Fields Only Popolated",""
"passed","Wed Apr 03 19:59:23 GMT 2024","Wed Apr 03 19:59:23 GMT 2024","19","","","","HttpClientTask50Tests","UpdateUserAsync_WithPatch_SexMissed_Invalid","Test Update User with PATCH - Sex is Missing",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","26","","","","HttpClientTask40Tests","GetUsersAsync_FilteredBySex_Valid","Test Get Users - Filtered by 'sex'",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","17","","","","HttpClientTask40Tests","GetUsersAsync_Valid","Test Get Users - Unfiltered",""
"passed","Wed Apr 03 19:59:23 GMT 2024","Wed Apr 03 19:59:23 GMT 2024","16","","","","HttpClientTask50Tests","UpdateUserAsync_WithPatch_UpdateAge_Valid","Test Update User with PATCH - Updating Age",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","14","","","","HttpClientTask40Tests","GetUsersAsync_FilteredByYoungerThan_Valid","Test Get Users - Filtered by 'youngerThan'",""
"passed","Wed Apr 03 19:59:23 GMT 2024","Wed Apr 03 19:59:23 GMT 2024","16","","","","HttpClientTask50Tests","UpdateUserAsync_WithPut_NameMissed_Invalid","Test Update User with PUT - Name is Missing",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","24","","","","HttpClientTask30Tests","CreateUserAsync_NotExistingZipCode_Invalid","Test Create New User - Unavailable ZIP Code",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","47","","","","HttpClientTask20Tests","ExpandZipCodesAsync_NoDuplicatesCreated_InputAlreadyExists_Valid","Test Add New ZIP Codes - No Duplicates Are Created for Not Used ZIP Codes",""
"passed","Wed Apr 03 19:59:23 GMT 2024","Wed Apr 03 19:59:23 GMT 2024","13","","","","HttpClientTask50Tests","UpdateUserAsync_WithPatch_UnavailableZipCode_InValid","Test Update User with PATCH - New ZIP Code is Unavailable",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","24","","","","HttpClientTask20Tests","GetZipCodesAsync_AvailableZipCodesReturned_Valid","Test Get Available ZIP Codes",""
"passed","Wed Apr 03 19:59:23 GMT 2024","Wed Apr 03 19:59:23 GMT 2024","16","","","","HttpClientTask50Tests","UpdateUserAsync_WithPut_UnavailableZipCode_InValid","Test Update User with PUT - New ZIP Code is Unavailable",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","369","","","","HttpClientTask20Tests","ExpandZipCodesAsync_NewZipCodesAdded_Valid","Test Add New ZIP Codes",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","54","","","","HttpClientTask30Tests","CreateUserAsync_AllFieldsPopulated_Valid","Test Create New User - All Fields Popolated",""
"passed","Wed Apr 03 19:59:23 GMT 2024","Wed Apr 03 19:59:23 GMT 2024","16","","","","HttpClientTask50Tests","UpdateUserAsync_WithPut_SexMissed_Invalid","Test Update User with PUT - Sex is Missing",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","37","","","","HttpClientTask40Tests","GetUsersAsync_FilteredByOlderThan_Valid","Test Get Users - Filtered by 'olderThan'",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","17","","","","HttpClientTask30Tests","CreateUserAsync_UserAlreadyExists_Invalid","Test Create New User - User with specified Name/Sex already exists",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:22 GMT 2024","128","","","","HttpClientTask20Tests","ExpandZipCodesAsync_NoDuplicatesCreatedForUsedZipCodes_Valid","Test Add New ZIP Codes - No Duplicates Are Created for Used ZIP Codes",""
"passed","Wed Apr 03 19:59:23 GMT 2024","Wed Apr 03 19:59:23 GMT 2024","19","","","","HttpClientTask50Tests","UpdateUserAsync_WithPut_UpdateAge_Valid","Test Update User with PUT - Updating Age",""
"passed","Wed Apr 03 19:59:22 GMT 2024","Wed Apr 03 19:59:23 GMT 2024","41","","","","HttpClientTask50Tests","UpdateUserAsync_WithPatch_NameMissed_Invalid","Test Update User with PATCH - Name is Missing",""
